Age,DailyTimeOnSite,Income,ClickedAd
56,5.302072831987133,32054,1
69,7.6143364622750305,94151,1
46,4.232176293029192,98161,1
32,4.083250603439407,28877,0
60,4.860203280618653,85602,1
25,3.625906820336941,76631,0
38,7.293936229618874,105516,1
56,7.689121096762618,56808,1
36,6.188361498349464,71133,1
40,6.396131559461879,41227,1
28,4.757424823360254,81419,1
28,6.009249101644146,98930,1
41,6.872489654285419,29281,1
53,4.517681842367671,34842,0
57,7.149168763646436,94106,1
41,4.964305029738783,77656,1
20,4.852613084211693,43498,0
39,3.684080622597634,46163,0
19,5.331065625404787,26613,0
41,6.6800947012555385,48718,1
61,1.6102371353911638,90868,0
47,5.514782844709641,70821,1
55,6.088820214729799,31121,1
19,5.178788144028505,61748,0
38,2.048691720693361,100476,0
50,2.961514154586408,32484,0
29,4.88004516810927,107162,1
39,2.4902018045679526,102396,0
61,9.02782643875197,25243,1
42,6.946612064301486,81272,1
66,3.4450421163938305,43694,0
44,6.309972648938255,89559,1
59,6.005057868788226,38245,1
45,4.456176305128218,53254,1
33,6.4743717659187014,65716,1
32,1.8702965148508044,23579,0
64,4.487265860097836,111506,1
68,4.2160859431717945,56226,1
61,7.696209467821207,115126,1
69,3.55943067979318,46908,1
20,6.02801431921228,37523,0
54,3.968757013655961,46236,0
68,6.594124713671808,80033,1
24,4.352592048007519,47875,0
38,3.1783818383863807,106961,0
26,4.955080896841892,67692,1
56,6.26576904861541,41548,1
35,5.784158172326943,32947,0
21,2.7607476251726384,26019,0
42,2.6027956772047696,21822,0
31,4.0348954934214,60738,0
67,3.5226006976050583,43251,0
26,3.6469256016622342,67852,0
43,4.308164933350346,31015,0
19,5.887831276362656,61926,1
37,4.585690620188345,46857,0
45,3.2228154167865544,58482,0
64,3.6242341988097553,34986,0
24,5.665669398096235,59947,1
61,4.833164022729365,35879,1
25,3.9321565786440225,27345,0
64,5.947252369425094,73887,1
52,6.210544422040348,94719,1
31,6.148328003409549,33085,1
34,4.848553760563118,48357,0
53,3.6503406091046853,70306,0
67,4.661841168820516,30268,1
57,3.935368276398111,98891,1
21,1.0500331991907537,30771,0
19,4.645951983117682,54384,0
23,1.7767086796996985,38903,0
59,3.911067297378734,52534,0
21,4.12572765881225,77559,0
46,7.3170029323546855,41158,1
35,3.2214133876217304,109325,1
43,5.3498670389183935,78984,1
61,4.526352282632417,29471,0
51,5.691140752878664,41381,1
27,4.005499093496946,62262,1
53,2.632003798426151,95297,0
31,5.1605841274976285,100189,1
48,5.025880315450467,96381,1
65,5.281676927634495,109753,1
32,4.550130130145704,79048,0
25,4.466231706079641,52867,0
31,6.206500748959485,55206,1
40,6.068766405404074,104836,1
57,3.7936401171953937,87004,1
38,4.777417763952737,93193,1
33,3.197194186339013,100484,0
62,5.851883857841484,61620,1
35,5.693159351433535,73488,1
64,7.12359040781303,35586,1
41,6.105242762917992,80150,1
43,5.267986210860859,99617,1
42,8.86909366259782,37325,1
62,5.521017598038353,119381,1
58,5.833603722203059,54238,1
46,2.284441810865026,47148,0
32,6.218301614626774,24834,0
62,8.624939642043932,76134,1
18,5.429798360752943,66177,1
42,6.175880394612029,95704,1
24,6.663887938038426,74638,1
26,7.7032112820115,91585,1
41,5.914018818219654,116880,1
18,2.626377939575183,96329,0
61,5.343477024055463,45374,1
25,6.1655026830499935,36782,1
41,6.046416912157903,25568,1
28,4.771386161957627,53886,0
68,4.448574223501764,70440,1
34,4.457913043647752,57710,1
25,4.776262466610994,27305,0
52,5.196724863170138,92078,1
52,5.813366018730054,109810,1
50,5.563858108799428,71546,1
22,4.352179200240583,42661,0
59,3.2168255545207085,71200,1
56,5.56746027180492,44194,1
58,4.565753902841522,63504,1
45,7.4110267004620916,40260,1
24,6.368188794457889,89100,1
26,5.511342124374007,81660,1
25,3.866671254856724,24059,0
29,2.973112336724899,50223,0
51,5.003576261235554,20688,0
50,5.219160804677528,40320,1
65,2.394842499040914,102332,1
40,5.710326453365926,68218,1
41,5.0740321660266865,70695,1
54,0.9937517634683823,62980,0
52,3.716194577131338,95199,1
61,3.8157164250248283,70316,1
57,3.169801985866065,105091,1
39,5.581239154025547,27265,1
44,7.6823562887853125,58641,1
52,5.695358582371915,31640,1
18,5.948342616168896,77865,0
52,3.836190775323054,96079,1
54,5.764517694283866,72262,1
64,4.724977215721934,41622,1
31,5.001185806997058,87611,0
20,4.0945607507983555,34525,0
18,2.6326682360201374,57977,0
22,6.379384615241622,90634,1
43,5.242003408790463,109713,1
31,4.656317669289313,71490,0
56,7.738282194553763,58250,1
44,3.5054730084013026,117151,1
26,5.960336351881971,70079,1
32,8.079584192997402,53168,1
32,5.628275900198961,56822,1
43,3.2598646035455072,90009,1
59,6.467594446818764,34971,1
30,4.18179913522875,80325,1
68,4.078403504952298,75312,1
49,3.6461739953219654,27782,0
56,7.442558999276922,86179,1
66,4.392507405337343,83125,1
69,3.619994234031814,63054,1
49,6.870200643205685,67013,1
21,2.6185497509342763,30286,0
47,5.096345975316813,68148,1
54,3.979889570006338,105521,1
40,5.909368375983609,80203,1
56,4.364905517815996,38882,1
62,2.882918618684714,43280,0
32,5.21576614042468,102379,1
60,4.311350480939067,86654,1
46,6.262896796176785,78798,1
53,5.100505126384383,105012,1
30,8.212186154118028,101700,1
49,4.164999090950107,101658,1
24,6.758952030234242,112702,1
68,4.474634605531854,57335,1
39,4.818380093515942,63000,1
45,6.134323780977669,85989,1
19,3.5874091369349683,89261,0
59,6.782947260934959,81424,1
62,6.038777783477845,27060,1
23,6.186947785790306,26536,0
45,6.403646375731805,61928,1
45,5.867970008738074,23125,1
61,6.0204433778240345,93869,1
61,6.97454473994461,66679,1
37,5.008475806988643,83902,1
47,4.731962830035119,85445,1
28,5.725854817199888,65912,0
45,5.1500931000366785,107240,1
42,6.403257579930117,31178,1
56,7.797861228569797,25058,1
50,3.581294121374827,112558,1
18,5.14731766012501,50257,0
44,3.4050467696697053,106641,1
69,4.684275379081965,57788,1
30,4.777054036443079,86359,1
58,4.415212815514314,23931,1
20,6.357028903123906,60656,0
56,5.538087951557523,83704,1
23,4.100455281527144,62847,0
25,6.359835242130276,94417,1
44,4.828900296755691,44686,1
26,4.201825031341971,72409,0
54,3.47241820461632,20832,0
50,2.8021613305877153,33448,0
68,4.302590601628189,50930,1
59,5.087771174934314,108258,1
61,6.391486862321386,82495,1
41,1.9339591761112462,68738,0
32,7.795928593401825,31041,1
49,3.8458904755755348,50987,0
49,4.4217920968596856,77469,1
41,4.4757486574913745,26007,0
58,4.052865071592447,33391,0
69,4.543102676081045,57931,1
66,4.642557773808044,36369,1
66,4.771793362871578,89531,1
69,7.377887133506983,32456,1
29,3.897710357455775,37740,0
56,7.750763799316714,113467,1
19,5.81784813033422,83963,0
20,2.671097998660925,25765,0
66,3.7531338061372255,87171,1
54,3.574297562206457,52128,1
66,4.966526981434415,105222,1
34,6.979427280194011,21375,1
66,6.221152884500819,59155,1
19,3.4740533054071596,95093,0
19,6.8225058597548935,87739,1
45,3.4354524335157834,20602,0
40,3.6619776501816372,33191,0
54,6.5733355010157855,112313,1
49,6.541789022405722,108666,1
50,6.222574221741166,25670,1
18,5.030086156231177,47759,0
36,4.88760766808607,95204,1
19,3.2436424928647236,105444,0
61,4.9814143944242275,35111,1
43,3.989866287056347,101146,1
49,4.732511701260357,27372,0
23,8.44244672970643,88148,1
49,5.485167838904678,76507,1
21,3.337048244224882,67137,0
28,6.864833570259355,66082,1
34,7.01419912578435,92500,1
55,7.15173944797269,112308,1
41,4.285064813711247,75921,1
22,4.8330010769577845,63188,0
69,3.1075471556571848,36666,1
51,7.338963394996963,27856,1
23,5.186189267522646,21544,0
39,2.9444629428451923,68294,0
28,7.480564532309144,67839,1
65,3.9821785034605015,46581,1
33,4.4081118261968255,67208,1
50,3.4301211400438723,99607,1
26,3.1895579581179665,59086,0
23,5.584390225630904,76392,1
33,3.955174717132298,107986,1
46,2.712506162533237,118598,1
20,6.4864353433283455,34471,0
37,5.75472751833852,41145,1
53,7.681750537840113,71104,1
36,4.440940612844746,47862,0
43,5.060072250975625,69098,1
20,5.317358097646027,54099,0
36,5.209315240284198,58829,1
37,5.376721514868754,45680,0
49,4.518651503291776,110099,1
24,2.2965596178627976,80519,0
69,5.43200236723557,85091,1
58,5.862641335508642,47665,1
50,4.495387669856635,110208,1
57,8.72926907548226,48420,1
56,4.284262333673158,84650,1
35,4.061810600631107,28318,0
57,5.665659437965602,117984,1
18,5.3525277045284385,78299,0
28,2.639049045441799,35882,0
45,6.195068840031938,51972,1
42,4.315466108971837,49980,1
67,6.857707127509082,112645,1
40,5.599647335776395,51328,1
48,4.64744348461924,76845,1
47,6.9123619171256045,104976,1
59,4.176752879497476,79350,1
52,2.9967837338366543,82574,1
24,2.9556561984499328,99996,0
33,5.364036376703066,47381,0
43,7.730572134371576,21563,1
65,4.786100492681061,117550,1
69,6.139859336412369,20023,1
66,5.46712013860094,65905,1
19,4.380495329783863,24496,0
18,2.5135858844555132,59209,0
65,5.249648490823384,80178,1
29,6.206641874575595,34535,1
22,5.682751683394412,62887,0
54,4.490525604474717,116307,1
49,4.206851170244601,22303,0
26,4.0493183775261405,88668,0
58,4.011799777376481,49362,1
52,5.067528487388484,93403,1
36,4.765007789539515,64978,0
65,5.758670433709964,93240,1
33,3.5447557313675597,66788,0
20,4.960530291238458,24143,0
37,4.947490524747885,47535,1
41,4.237306509365991,57911,1
50,5.461146235714213,22029,1
